Item,X (mm),Y (mm),Z (mm),TX (deg),TY (deg)
FM4-2,0.0,0.0,0.0,135.0,0.0
FM4-1,0.0,-90.6,0.0,135.0,0.0
BS1,125.0,-90.6,0.0,-45.0,3.0
BS2,180.0,-92.0,0.0,-45.0,3.0
BS3,235.0,-93.4,0.0,-45.0,-3.0
BS4,290.0,-94.8,0.0,-45.0,-3.0
TTM1-1,125.0,224.4,20.0,-135.0,-3.6
TTM1-2,180.0,189.4,20.0,-135.0,-3.6
TTM1-3,235.0,224.4,-20.0,-135.0,3.5
TTM1-4,290.0,189.4,-20.0,-135.0,3.5
TTM2-1,-103.0,224.4,20.0,137.6,-3.7
TTM2-2,-139.0,189.4,20.0,131.8,-3.4
TTM2-3,-103.0,224.4,-20.0,137.6,3.8
TTM2-4,-139.0,189.4,-20.0,131.8,3.5
PRISM-1_Front,-125.0,70.1511,0.0,-11.9999,-11.7451
PRISM-2_Front,-125.0,70.1511,0.0,11.9999,-11.7451
PRISM-3_Front,-125.0,70.1511,0.0,-11.9999,11.7451
PRISM-4_Front,-125.0,70.1511,0.0,11.9999,11.7451
PRISM_Back,-125.0,59.4,0.0,0.0,0.0
FBM,-125.0,0.0,0.0,45.0,0.0
BE_entrance_pupil,1955.5,0.0,0.0,0.0,0.0
